year,rank,company,revenue,profit
1955,1,General Motors,9823.5,806.0
1955,2,Exxon Mobil,5661.4,584.8
1955,3,U.S. Steel,3250.4,195.4
1955,4,General Electric,2959.1,212.6
1955,5,Esmark,2510.8,19.1
1955,6,Chrysler,2071.6,18.5
1955,7,Armour,2056.1,1.6
1955,8,Gulf Oil,1705.3,182.8
1955,9,Mobil,1703.6,183.8
1955,10,DuPont,1687.7,344.4
1955,11,Amoco,1667.4,132.8
1955,12,Bethlehem Steel,1660.3,117.2
1955,13,CBS,1631.0,84.6
1955,14,Texaco,1574.4,226.1
1955,15,AT&T Technologies,1526.2,55.8
1955,16,Shell Oil,1312.1,121.1
1955,17,Kraft,1210.3,37.4
1955,18,ChevronTexaco,1113.3,211.9
1955,19,Goodyear Tire & Rubber,1090.1,48.1
1955,20,Boeing,1033.2,37.0
